"subbasin","deluid","deluname","lutype","area_ac","slsur","lsur"
6389,2000,"Road_Primary-All-All-All",1,53.625432,0.1,100
6389,3000,"Road_Minor-All-All-All",1,67.1268,0.03,100
6389,4000,"Dev_ResHigh-All-All-All",1,28.525728,0.03,100
6389,5000,"Dev_ResLow-All-All-All",1,181.494244,0.07,100
6389,6000,"Dev_Com-All-All-All",1,41.958863,0.05,100
6389,7000,"Dev_Ind-All-All-All",1,5.69488,0.03,100
6389,8000,"Dev_Inst-All-All-All",1,46.761849,0.02,100
6389,9000,"Dev_Roof-All-All-All",1,199.934335,0.03,100
6389,10000,"Dev_Overspray-All-All-All",1,5.890243,0.06,100
6389,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6389,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
6389,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6389,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6389,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
6389,11212,"Dev_Irrigated-B-Low-Unconfined",2,0,0.01,400
6389,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
6389,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
6389,11311,"Dev_Irrigated-C-Low-Confined",2,6.930837,0.07,400
6389,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
6389,11321,"Dev_Irrigated-C-Med-Confined",2,8.825895,0.13,300
6389,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
6389,11411,"Dev_Irrigated-D-Low-Confined",2,23.446056,0.09,400
6389,11412,"Dev_Irrigated-D-Low-Unconfined",2,17.352287,0.01,400
6389,11421,"Dev_Irrigated-D-Med-Confined",2,61.249789,0.18,300
6389,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
6389,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6389,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
6389,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6389,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
6389,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
6389,12212,"Dev_Pervious-B-Low-Unconfined",2,0,0.01,400
6389,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
6389,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
6389,12311,"Dev_Pervious-C-Low-Confined",2,17.863852,0.07,400
6389,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
6389,12321,"Dev_Pervious-C-Med-Confined",2,22.748261,0.12,300
6389,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
6389,12411,"Dev_Pervious-D-Low-Confined",2,60.430923,0.08,400
